0 1 -0.153472	-0.063194  0.0 -0.26 0.0 -0.7 0.0 -0.7 3.14  64.630701	 1.720901	 7.498282 -11.274579	 88.320836	 25.690880	 62.353483	 8.102503 -84.422715	 90.429874	 13.022305	 73.828501	 83.126875  57.192292	 31.122582	 73.531429	-94.586214	 19.750699	 20.284873  0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
5 1 -0.260195	-0.081891  0.0 -0.26 0.0 -0.7 0.0 -0.7 3.14  20.380595	-5.810009	-14.055669 -15.135270	 45.157814	 25.716412	 94.668815	-0.000254 -31.461017	 83.781361	-14.576756	 92.395467	-37.026405  4.748542	 12.983893	 52.361203	-98.194548	 24.896319	 3.773708  0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
10 1 -0.271448	-0.105108  0.0 -0.26 0.0 -0.7 0.0 -0.7 3.14  64.761466	 2.145447	 0.071958 -70.928996	 30.328634	 19.617733	 37.465527	 35.573546 -4.019513	 66.348147	 47.551397	 86.179107	 1.462769  68.470749	 73.135143	 45.866739	-73.939045	 19.973212	-16.246965  0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
15 1 -0.208505	-0.088815  0.0 -0.26 0.0 -0.7 0.0 -0.7 3.14  52.607651	-12.613302	-40.892345 -64.601463	 65.891675	-10.739065	 61.754087	 78.770151 -68.574605	 51.307149	 68.796798	 52.270257	-40.518491  45.611234	 66.090027	-20.214022	-64.935281	 8.348739	-7.696105  0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
20 1 -0.186593	-0.037776  0.0 -0.26 0.0 -0.7 0.0 -0.7 3.14  68.345256	-23.984645	-16.751230 -93.081626	 83.623161	-21.779015	 60.318107	-61.063567 -87.871342	 74.232094	 30.249268	 95.346640	 22.266831  26.921360	 80.288360	-77.976669	-55.936845	 1.653078	-15.681809  0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
25 1 -0.181698	-0.091906  0.0 -0.26 0.0 -0.7 0.0 -0.7 3.14  51.684616	-13.093766	-14.697207 -4.704472	 33.006089	 45.767807	 39.699551	 49.841403 -25.059170	 55.352842	 3.875531	 85.888317	-17.376845  72.647923	 48.496145	-6.647481	-88.551041	-2.947123	 2.854816  0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
30 1 -0.142236	-0.012374  0.0 -0.26 0.0 -0.7 0.0 -0.7 3.14 -12.313387	-7.984250	-44.019506 -14.865032	 62.087094	 60.146800	 66.106804	 62.564600 -16.880505	 68.887717	 37.438188	 32.212172	 67.202426  43.801311	 4.492856	-6.138997	-12.947443	 20.039614	 7.572590  0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
35 1 -0.201916	-0.129652  0.0 -0.26 0.0 -0.7 0.0 -0.7 3.14  7.647031	-8.121165	-48.962146 -54.084344	 34.686402	-33.266583	 32.194670	-9.826508 -3.597859	 73.691556	-23.651889	 65.905664	-34.397349 -8.920811	 16.643832	 21.248578	-36.885649	 8.369473	-12.968595  0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
40 1 -0.317625	-0.055455  0.0 -0.26 0.0 -0.7 0.0 -0.7 3.14  19.375227	 1.614039	-31.936533 -1.324411	 77.647504	 68.915032	 41.790513	 54.869124 -94.244835	 98.312773	 18.584102	 19.902036	 70.683783  18.358734	 16.677342	 39.310634	-65.086853	 31.118793	 7.926221  0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
45 1 -0.032445	-0.151730  0.0 -0.26 0.0 -0.7 0.0 -0.7 3.14 -4.894909	-9.286746	 2.902197 -55.404396	 60.469377	 12.340711	 80.951305	-74.156998 -34.239263	 91.568243	 41.905915	 59.167498	 62.896964  30.945956	 35.425481	-39.838016	-15.902396	 2.538153	-19.290473  0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
